303,177.0,1,0,12,164.0,5,278
304,80.0,3,0,7,70.0,1,99
305,224.0,13,6,37,184.0,10,291
310,86.0,8,0,23,63.0,13,87
312,110.0,1,2,11,95.0,4,83
313,87.0,7,1,9,77.0,0,55
315,136.0,3,6,21,112.0,10,101
316,73.0,0,1,11,62.0,8,46
317,47.0,1,3,9,38.0,3,29
318,71.0,4,0,7,60.0,2,41
319,67.0,1,3,10,55.0,4,71
320,81.0,11,4,19,62.0,0,41
321,88.0,7,2,20,66.0,5,76
322,112.0,3,0,19,91.0,9,147
324,80.0,9,2,15,63.0,0,65
325,153.0,8,2,25,127.0,6,114
326,51.0,1,0,2,49.0,1,44
327,84.0,1,4,14,68.0,7,90
328,213.0,11,3,36,176.0,14,260
330,49.0,0,1,18,31.0,16,20
333,126.0,4,0,10,109.0,4,72
336,103.0,5,4,12,90.0,0,49
338,98.0,1,1,8,90.0,5,69
339,102.0,3,6,15,81.0,4,65
340,62.0,2,4,10,52.0,1,43
341,120.0,5,2,23,96.0,8,111
343,52.0,2,2,11,41.0,6,81
344,181.0,10,2,33,143.0,19,150
345,214.0,9,7,33,178.0,6,100
347,47.0,1,3,6,41.0,1,19
348,111.0,4,1,13,98.0,3,120
350,125.0,7,2,15,110.0,3,109
351,120.0,0,1,10,106.0,1,64
352,168.0,9,1,17,149.0,4,84
353,113.0,1,4,15,98.0,7,58
355,74.0,2,1,8,66.0,5,74
356,122.0,0,7,24,98.0,6,93
357,32.0,1,0,4,28.0,2,19
358,57.0,0,1,6,51.0,1,52
360,69.0,1,0,4,65.0,1,30
362,79.0,4,1,8,71.0,1,54
363,158.0,9,8,33,121.0,6,144
364,319.0,10,4,22,293.0,1,309
366,256.0,4,9,41,212.0,23,221
368,389.0,8,14,61,328.0,21,364
369,235.0,2,4,11,223.0,1,247
370,270.0,7,7,49,219.0,25,181
371,90.0,0,2,10,79.0,4,52
372,204.0,6,3,46,156.0,25,231
374,280.0,3,5,35,245.0,20,139
375,59.0,3,2,5,54.0,0,40
376,135.0,6,4,25,107.0,7,114
379,239.0,3,7,26,207.0,8,269
380,399.0,10,8,39,352.0,10,226
383,199.0,4,4,16,180.0,2,134
385,17.0,0,0,2,15.0,0,13
386,149.0,1,3,11,137.0,4,193
391,66.0,1,0,9,57.0,4,39
392,75.0,3,2,11,64.0,2,38
393,76.0,1,2,9,67.0,3,55
397,131.0,5,1,31,98.0,16,161
400,97.0,0,4,24,72.0,18,52
401,103.0,1,3,13,89.0,3,67
402,96.0,1,2,9,87.0,2,49
409,248.0,7,5,36,209.0,7,125
412,80.0,1,1,9,71.0,0,61
414,153.0,6,7,27,126.0,3,101
415,103.0,2,0,16,86.0,10,101
416,146.0,1,2,17,127.0,4,91
419,170.0,8,8,24,142.0,3,129
423,76.0,0,3,9,66.0,3,60
425,168.0,10,4,32,129.0,11,104
426,119.0,3,2,12,103.0,5,96
427,112.0,7,0,17,95.0,6,60
428,92.0,5,4,18,73.0,5,110
429,105.0,6,4,39,64.0,19,94
430,123.0,5,3,24,99.0,11,133
433,102.0,2,3,12,89.0,0,49
434,188.0,11,6,26,159.0,4,194
437,97.0,0,5,7,89.0,0,63
441,99.0,9,7,30,68.0,4,84
443,43.0,1,2,19,24.0,13,19
444,200.0,5,10,36,163.0,14,159
445,106.0,4,7,20,85.0,2,63
446,157.0,4,2,11,142.0,3,130
447,116.0,5,3,28,84.0,12,71
448,177.0,5,4,38,139.0,26,239
449,231.0,2,2,19,210.0,6,278
454,67.0,3,1,11,55.0,1,54
455,99.0,0,1,5,94.0,1,53
456,159.0,4,1,23,134.0,13,119
457,122.0,3,2,24,97.0,10,82
459,104.0,8,4,21,81.0,9,59
463,69.0,2,3,10,59.0,3,40
464,257.0,8,6,26,229.0,6,141
468,183.0,2,5,17,161.0,7,117
471,98.0,2,2,13,84.0,3,128
473,40.0,0,1,5,35.0,0,23
474,172.0,5,3,22,150.0,10,143
475,75.0,1,1,5,70.0,3,48
478,137.0,1,3,14,123.0,4,92
479,53.0,1,2,9,42.0,3,32
485,77.0,3,4,16,61.0,7,53
486,62.0,1,3,6,55.0,1,82
487,131.0,4,5,20,110.0,1,170
488,145.0,11,3,29,114.0,6,92
491,91.0,1,2,16,74.0,5,92
